Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ1626,06/07/2024,22:00,23:25,01h 25m,"1,335,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ644,06/07/2024,23:05,00:25,01h 20m,"1,335,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ646,06/07/2024,22:10,23:30,01h 20m,"1,335,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietravel Airlines,VU680,06/07/2024,21:30,22:50,01h 20m,"1,371,000 VND",ECONOMY
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7094,06/07/2024,23:45,01:05,01h 20m,"1,472,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7134,06/07/2024,22:25,23:45,01h 20m,"1,472,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ640,06/07/2024,20:30,21:50,01h 20m,"1,491,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ642,06/07/2024,19:05,20:25,01h 20m,"1,491,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Bamboo Airways,QH170,06/07/2024,21:10,22:35,01h 25m,"1,530,000 VND",EconomySmart
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN142,06/07/2024,21:15,22:35,01h 20m,"1,642,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN148,06/07/2024,21:00,22:25,01h 25m,"1,642,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7094,06/07/2024,23:45,01:05,01h 20m,"1,642,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7134,06/07/2024,22:25,23:45,01h 20m,"1,642,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ636,06/07/2024,18:35,19:55,01h 20m,"1,659,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN142,06/07/2024,21:15,22:35,01h 20m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN148,06/07/2024,21:00,22:25,01h 25m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7094,06/07/2024,23:45,01:05,01h 20m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7134,06/07/2024,22:25,23:45,01h 20m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ634,06/07/2024,15:45,17:05,01h 20m,"1,854,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ638,06/07/2024,18:00,19:20,01h 20m,"1,854,000 VND",Eco
