Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1132,07/07/2024,01:20,03:30,02h 10m,"1,854,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1136,07/07/2024,01:30,03:40,02h 10m,"1,854,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ182,07/07/2024,04:55,07:10,02h 15m,"1,854,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietravel Airlines,VU750,07/07/2024,05:45,07:50,02h 5m,"2,071,000 VND",ECONOMY
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH286,07/07/2024,23:15,01:25,02h 10m,"2,087,000 VND",EconomySmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1138,07/07/2024,23:25,01:35,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ120,07/07/2024,06:00,08:10,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ122,07/07/2024,07:00,09:10,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ160,07/07/2024,23:05,01:15,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ162,07/07/2024,21:30,23:40,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ168,07/07/2024,06:40,08:50,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ176,07/07/2024,21:15,23:25,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ180,07/07/2024,23:55,02:05,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ192,07/07/2024,22:15,00:25,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ194,07/07/2024,23:00,01:10,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ198,07/07/2024,05:25,07:35,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietravel Airlines,VU720,07/07/2024,18:50,21:10,02h 20m,"2,317,000 VND",ECONOMY
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH202,07/07/2024,05:25,07:35,02h 10m,"2,320,000 VND",EconomySmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN204,07/07/2024,05:00,07:05,02h 5m,"2,315,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN206,07/07/2024,06:00,08:10,02h 10m,"2,315,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,07/07/2024,22:00,00:05,02h 5m,"2,315,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,07/07/2024,23:00,01:05,02h 5m,"2,315,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7218,07/07/2024,22:30,00:35,02h 5m,"2,315,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ136,07/07/2024,13:20,15:30,02h 10m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ142,07/07/2024,15:00,17:10,02h 10m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ144,07/07/2024,16:30,18:40,02h 10m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ148,07/07/2024,15:35,17:45,02h 10m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ154,07/07/2024,18:30,20:40,02h 10m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ156,07/07/2024,19:40,21:50,02h 10m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ166,07/07/2024,20:15,22:25,02h 10m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ172,07/07/2024,12:10,14:20,02h 10m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ174,07/07/2024,13:10,15:20,02h 10m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietravel Airlines,VU720,07/07/2024,18:50,21:10,02h 20m,"2,525,000 VND",ECONOMY
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietravel Airlines,VU750,07/07/2024,05:45,07:50,02h 5m,"2,525,000 VND",ECONOMY
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH278,07/07/2024,20:35,22:45,02h 10m,"2,540,000 VND",EconomySmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ126,07/07/2024,08:40,10:50,02h 10m,"2,566,000 VND",Eco
