Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ1501,05/07/2024,23:40,01:00,01h 20m,"1,659,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ1503,05/07/2024,23:50,01:10,01h 20m,"1,659,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ519,05/07/2024,22:35,23:50,01h 15m,"1,659,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ533,05/07/2024,22:00,23:20,01h 20m,"1,659,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,05/07/2024,23:30,00:50,01h 20m,"1,810,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ523,05/07/2024,21:05,22:25,01h 20m,"1,854,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ525,05/07/2024,21:05,22:20,01h 15m,"1,854,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ527,05/07/2024,19:10,20:30,01h 20m,"1,854,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ531,05/07/2024,20:45,22:05,01h 20m,"1,996,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,05/07/2024,23:30,00:50,01h 20m,"2,004,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7171,05/07/2024,21:05,22:30,01h 25m,"2,004,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ501,05/07/2024,05:30,06:50,01h 20m,"2,152,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ509,05/07/2024,18:55,20:15,01h 20m,"2,152,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,05/07/2024,23:30,00:50,01h 20m,"2,198,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7171,05/07/2024,21:05,22:30,01h 25m,"2,198,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Bamboo Airways,QH115,05/07/2024,16:25,17:50,01h 25m,"2,281,000 VND",EconomySmart
Hà Nội (HAN),Đà Nẵng (DAD),Bamboo Airways,QH125,05/07/2024,18:15,19:35,01h 20m,"2,281,000 VND",EconomySmart
Hà Nội (HAN),Đà Nẵng (DAD),Vietravel Airlines,VU625,05/07/2024,06:25,07:45,01h 20m,"2,330,000 VND",ECONOMY
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ505,05/07/2024,10:40,12:00,01h 20m,"2,320,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ507,05/07/2024,11:20,12:40,01h 20m,"2,320,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ513,05/07/2024,14:50,16:10,01h 20m,"2,320,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,05/07/2024,23:30,00:50,01h 20m,"2,393,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,05/07/2024,21:55,23:20,01h 25m,"2,393,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7171,05/07/2024,21:05,22:30,01h 25m,"2,393,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,05/07/2024,21:30,23:00,01h 30m,"2,393,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietravel Airlines,VU639,05/07/2024,17:00,18:20,01h 20m,"2,486,000 VND",ECONOMY
Hà Nội (HAN),Đà Nẵng (DAD),Bamboo Airways,QH101,05/07/2024,06:05,07:30,01h 25m,"2,476,000 VND",EconomySmart
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ503,05/07/2024,06:25,07:45,01h 20m,"2,502,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN195,05/07/2024,18:55,20:20,01h 25m,"2,536,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,05/07/2024,23:30,00:50,01h 20m,"2,536,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7153,05/07/2024,05:05,06:30,01h 25m,"2,536,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7167,05/07/2024,17:45,19:10,01h 25m,"2,536,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,05/07/2024,21:55,23:20,01h 25m,"2,536,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7171,05/07/2024,21:05,22:30,01h 25m,"2,536,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,05/07/2024,21:30,23:00,01h 30m,"2,536,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ1501,05/07/2024,23:40,01:00,01h 20m,"2,566,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ1503,05/07/2024,23:50,01:10,01h 20m,"2,566,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ519,05/07/2024,22:35,23:50,01h 15m,"2,566,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ533,05/07/2024,22:00,23:20,01h 20m,"2,566,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Bamboo Airways,QH101,05/07/2024,06:05,07:30,01h 25m,"2,670,000 VND",EconomyFlex
Hà Nội (HAN),Đà Nẵng (DAD),Bamboo Airways,QH115,05/07/2024,16:25,17:50,01h 25m,"2,670,000 VND",EconomyFlex
Hà Nội (HAN),Đà Nẵng (DAD),Bamboo Airways,QH125,05/07/2024,18:15,19:35,01h 20m,"2,670,000 VND",EconomyFlex
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN195,05/07/2024,18:55,20:20,01h 25m,"2,665,000 VND",
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN197,05/07/2024,20:05,21:30,01h 25m,"2,665,000 VND",
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,05/07/2024,23:30,00:50,01h 20m,"2,665,000 VND",
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7153,05/07/2024,05:05,06:30,01h 25m,"2,665,000 VND",
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7167,05/07/2024,17:45,19:10,01h 25m,"2,665,000 VND",
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,05/07/2024,21:55,23:20,01h 25m,"2,665,000 VND",
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7171,05/07/2024,21:05,22:30,01h 25m,"2,665,000 VND",
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7173,05/07/2024,20:35,22:00,01h 25m,"2,665,000 VND",
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,05/07/2024,21:30,23:00,01h 30m,"2,665,000 VND",
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ523,05/07/2024,21:05,22:25,01h 20m,"2,761,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ525,05/07/2024,21:05,22:20,01h 15m,"2,761,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ527,05/07/2024,19:10,20:30,01h 20m,"2,761,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN195,05/07/2024,18:55,20:20,01h 25m,"2,808,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN197,05/07/2024,20:05,21:30,01h 25m,"2,808,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,05/07/2024,23:30,00:50,01h 20m,"2,808,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7153,05/07/2024,05:05,06:30,01h 25m,"2,808,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7167,05/07/2024,17:45,19:10,01h 25m,"2,808,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,05/07/2024,21:55,23:20,01h 25m,"2,808,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7171,05/07/2024,21:05,22:30,01h 25m,"2,808,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7173,05/07/2024,20:35,22:00,01h 25m,"2,808,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,05/07/2024,21:30,23:00,01h 30m,"2,808,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ531,05/07/2024,20:45,22:05,01h 20m,"2,903,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN195,05/07/2024,18:55,20:20,01h 25m,"2,938,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN197,05/07/2024,20:05,21:30,01h 25m,"2,938,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,05/07/2024,23:30,00:50,01h 20m,"2,938,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7153,05/07/2024,05:05,06:30,01h 25m,"2,938,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7161,05/07/2024,05:25,07:00,01h 35m,"2,938,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7167,05/07/2024,17:45,19:10,01h 25m,"2,938,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,05/07/2024,21:55,23:20,01h 25m,"2,938,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7171,05/07/2024,21:05,22:30,01h 25m,"2,938,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7173,05/07/2024,20:35,22:00,01h 25m,"2,938,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,05/07/2024,21:30,23:00,01h 30m,"2,938,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN157,05/07/2024,05:55,07:20,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN161,05/07/2024,08:05,09:30,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN165,05/07/2024,09:15,10:40,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN169,05/07/2024,12:10,13:35,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN173,05/07/2024,13:40,15:05,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN177,05/07/2024,14:55,16:20,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN181,05/07/2024,16:10,17:35,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN185,05/07/2024,16:55,18:25,01h 30m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN189,05/07/2024,17:30,18:55,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN191,05/07/2024,18:40,20:05,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN195,05/07/2024,18:55,20:20,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN197,05/07/2024,20:05,21:30,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,05/07/2024,23:30,00:50,01h 20m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7085,05/07/2024,06:45,08:05,01h 20m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7153,05/07/2024,05:05,06:30,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7155,05/07/2024,15:55,17:20,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7161,05/07/2024,05:25,07:00,01h 35m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7165,05/07/2024,11:45,13:10,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7167,05/07/2024,17:45,19:10,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,05/07/2024,21:55,23:20,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7171,05/07/2024,21:05,22:30,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7173,05/07/2024,20:35,22:00,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7175,05/07/2024,10:55,12:20,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7177,05/07/2024,15:30,16:50,01h 20m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7179,05/07/2024,19:55,21:25,01h 30m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7181,05/07/2024,16:30,17:55,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,05/07/2024,21:30,23:00,01h 30m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7195,05/07/2024,19:25,20:50,01h 25m,"2,999,000 VND",Phổ thông linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ501,05/07/2024,05:30,06:50,01h 20m,"3,059,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ509,05/07/2024,18:55,20:15,01h 20m,"3,059,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ505,05/07/2024,10:40,12:00,01h 20m,"3,227,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ507,05/07/2024,11:20,12:40,01h 20m,"3,227,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ513,05/07/2024,14:50,16:10,01h 20m,"3,227,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Vietravel Airlines,VU625,05/07/2024,06:25,07:45,01h 20m,"3,383,000 VND",ECONOMY
Hà Nội (HAN),Đà Nẵng (DAD),Vietravel Airlines,VU639,05/07/2024,17:00,18:20,01h 20m,"3,383,000 VND",ECONOMY
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ503,05/07/2024,06:25,07:45,01h 20m,"3,409,000 VND",Deluxe
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ1501,05/07/2024,23:40,01:00,01h 20m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ1503,05/07/2024,23:50,01:10,01h 20m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ501,05/07/2024,05:30,06:50,01h 20m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ503,05/07/2024,06:25,07:45,01h 20m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ505,05/07/2024,10:40,12:00,01h 20m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ507,05/07/2024,11:20,12:40,01h 20m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ509,05/07/2024,18:55,20:15,01h 20m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ513,05/07/2024,14:50,16:10,01h 20m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ519,05/07/2024,22:35,23:50,01h 15m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ523,05/07/2024,21:05,22:25,01h 20m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ525,05/07/2024,21:05,22:20,01h 15m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ527,05/07/2024,19:10,20:30,01h 20m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ531,05/07/2024,20:45,22:05,01h 20m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ533,05/07/2024,22:00,23:20,01h 20m,"4,705,000 VND",Skyboss
Hà Nội (HAN),Đà Nẵng (DAD),Bamboo Airways,QH101,05/07/2024,06:05,07:30,01h 25m,"4,976,000 VND",BusinessFlex
Hà Nội (HAN),Đà Nẵng (DAD),Bamboo Airways,QH115,05/07/2024,16:25,17:50,01h 25m,"4,976,000 VND",BusinessFlex
Hà Nội (HAN),Đà Nẵng (DAD),Bamboo Airways,QH125,05/07/2024,18:15,19:35,01h 20m,"4,976,000 VND",BusinessFlex
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN195,05/07/2024,18:55,20:20,01h 25m,"5,218,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,05/07/2024,23:30,00:50,01h 20m,"5,218,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7153,05/07/2024,05:05,06:30,01h 25m,"5,218,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7167,05/07/2024,17:45,19:10,01h 25m,"5,218,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,05/07/2024,21:55,23:20,01h 25m,"5,218,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7171,05/07/2024,21:05,22:30,01h 25m,"5,218,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,05/07/2024,21:30,23:00,01h 30m,"5,218,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN157,05/07/2024,05:55,07:20,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN161,05/07/2024,08:05,09:30,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN173,05/07/2024,13:40,15:05,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN177,05/07/2024,14:55,16:20,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN181,05/07/2024,16:10,17:35,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN185,05/07/2024,16:55,18:25,01h 30m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN189,05/07/2024,17:30,18:55,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN191,05/07/2024,18:40,20:05,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN195,05/07/2024,18:55,20:20,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN197,05/07/2024,20:05,21:30,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,05/07/2024,23:30,00:50,01h 20m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7085,05/07/2024,06:45,08:05,01h 20m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7153,05/07/2024,05:05,06:30,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7155,05/07/2024,15:55,17:20,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7161,05/07/2024,05:25,07:00,01h 35m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7165,05/07/2024,11:45,13:10,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7167,05/07/2024,17:45,19:10,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,05/07/2024,21:55,23:20,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7171,05/07/2024,21:05,22:30,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7173,05/07/2024,20:35,22:00,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7175,05/07/2024,10:55,12:20,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7177,05/07/2024,15:30,16:50,01h 20m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7179,05/07/2024,19:55,21:25,01h 30m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7181,05/07/2024,16:30,17:55,01h 25m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,05/07/2024,21:30,23:00,01h 30m,"5,736,000 VND",Thương gia linh hoạt
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7195,05/07/2024,19:25,20:50,01h 25m,"5,736,000 VND",Thương gia linh hoạt
