Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ1139,02/07/2024,02:15,04:25,02h 10m,"1,724,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ191,02/07/2024,04:50,07:00,02h 10m,"1,724,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietravel Airlines,VU727,02/07/2024,21:50,00:05,02h 15m,"1,890,000 VND",ECONOMY
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietravel Airlines,VU791,02/07/2024,21:20,23:35,02h 15m,"1,890,000 VND",ECONOMY
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ121,02/07/2024,06:00,08:10,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ123,02/07/2024,07:00,09:10,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ157,02/07/2024,21:45,23:55,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ161,02/07/2024,21:20,23:30,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ163,02/07/2024,22:50,01:00,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ165,02/07/2024,23:05,01:15,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ181,02/07/2024,22:55,01:35,02h 40m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ183,02/07/2024,22:25,00:35,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ193,02/07/2024,05:00,07:10,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ199,02/07/2024,05:20,07:30,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Bamboo Airways,QH289,02/07/2024,23:30,01:40,02h 10m,"2,087,000 VND",EconomySmart
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN223,02/07/2024,23:00,01:10,02h 10m,"2,069,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN267,02/07/2024,22:00,00:10,02h 10m,"2,069,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN7217,02/07/2024,22:30,00:45,02h 15m,"2,069,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ133,02/07/2024,12:10,14:20,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ135,02/07/2024,13:20,15:30,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ145,02/07/2024,15:50,18:05,02h 15m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ147,02/07/2024,16:30,18:40,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ155,02/07/2024,18:15,20:25,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ173,02/07/2024,15:10,17:20,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ175,02/07/2024,16:10,18:20,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietravel Airlines,VU751,02/07/2024,08:40,10:45,02h 5m,"2,317,000 VND",ECONOMY
Hà Nội (HAN),Hồ Chí Minh (SGN),Bamboo Airways,QH201,02/07/2024,06:45,08:55,02h 10m,"2,320,000 VND",EconomySmart
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN221,02/07/2024,21:00,23:15,02h 15m,"2,315,000 VND",Phổ thông tiết kiệm
