Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ459,04/07/2024,14:15,16:20,02h 5m,"2,502,000 VND",Eco
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ451,04/07/2024,06:30,08:35,02h 5m,"2,748,000 VND",Eco
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ449,04/07/2024,18:10,20:15,02h 5m,"3,020,000 VND",Eco
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ455,04/07/2024,10:00,12:05,02h 5m,"3,020,000 VND",Eco
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ457,04/07/2024,12:15,14:20,02h 5m,"3,020,000 VND",Eco
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ459,04/07/2024,14:15,16:20,02h 5m,"3,409,000 VND",Deluxe
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,"VN7215,VN7843",04/07/2024,21:30,01:50,04h 20m,"3,995,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,"VN7215,VN7845",04/07/2024,21:30,02:00,04h 30m,"3,995,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,"VN221,VN7843",04/07/2024,21:00,01:50,04h 50m,"3,995,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,"VN265,VN7841",04/07/2024,20:30,01:20,04h 50m,"3,995,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,"VN221,VN7841",04/07/2024,21:00,01:20,04h 20m,"3,995,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,VN1237,04/07/2024,08:55,11:05,02h 10m,"3,624,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,VN1239,04/07/2024,11:05,13:15,02h 10m,"3,624,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ451,04/07/2024,06:30,08:35,02h 5m,"3,655,000 VND",Deluxe
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,"VN7215,VN7843",04/07/2024,21:30,01:50,04h 20m,"4,370,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,"VN7215,VN7845",04/07/2024,21:30,02:00,04h 30m,"4,370,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,"VN221,VN7843",04/07/2024,21:00,01:50,04h 50m,"4,370,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,"VN265,VN7841",04/07/2024,20:30,01:20,04h 50m,"4,370,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,"VN221,VN7841",04/07/2024,21:00,01:20,04h 20m,"4,370,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ449,04/07/2024,18:10,20:15,02h 5m,"3,927,000 VND",Deluxe
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ455,04/07/2024,10:00,12:05,02h 5m,"3,927,000 VND",Deluxe
