Departure Location,Arrival Location,Airline,Flight Number,Departure Date,Departure Time,Arrival Time,Flight Duration,Price,Ticket Class
Hồ Chí Minh,Hà Nội,,VJ1132,Hà Nội - HAN,01:20,03:30,A320-100/200, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VJ1136,Hà Nội - HAN,01:20,03:30,A320-100/200, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VJ182,Hà Nội - HAN,04:55,07:10,A321, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VJ160,Hà Nội - HAN,21:55,00:05,A320-100/200, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VJ184,Hà Nội - HAN,22:15,00:25,A330, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VJ192,Hà Nội - HAN,22:15,00:25,A320-100/200, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VJ176,Hà Nội - HAN,22:20,00:10,A321, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VJ162,Hà Nội - HAN,22:50,01:00,A321, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VJ194,Hà Nội - HAN,23:00,01:10,A320-100/200, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VJ1138,Hà Nội - HAN,23:25,01:35,A320-100/200, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VJ180,Hà Nội - HAN,23:55,02:05,A320-100/200, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VN270,Hà Nội - HAN,23:00,01:05,A321, VND,1 kiện x 23kg
Hồ Chí Minh,Hà Nội,,VU750,Hà Nội - HAN,05:45,07:50,A321, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VU720,Hà Nội - HAN,18:50,21:10,A321, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VJ198,Hà Nội - HAN,05:25,07:35,A320-100/200, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VJ120,Hà Nội - HAN,06:00,08:10,A320-100/200, VND,Vui lòng chọn ở bước tiếp theo
Hồ Chí Minh,Hà Nội,,VJ172,Hà Nội - HAN,12:10,14:20,A330, VND,Vui lòng chọn ở bước tiếp theo
